timestamp,beats per minute
2025-08-20T14:35:38Z,119
2025-08-20T14:35:43Z,121
2025-08-20T14:35:48Z,122
2025-08-20T14:35:53Z,125
2025-08-20T14:35:58Z,128
2025-08-20T14:36:03Z,130
2025-08-20T14:36:08Z,128
2025-08-20T14:36:13Z,123
2025-08-20T14:36:18Z,128
2025-08-20T14:36:23Z,132
2025-08-20T14:36:28Z,141
2025-08-20T14:36:33Z,148
2025-08-20T14:36:38Z,150
2025-08-20T14:36:48Z,152
2025-08-20T14:36:53Z,154
2025-08-20T14:37:03Z,155
2025-08-20T14:37:08Z,153
2025-08-20T14:37:13Z,151
2025-08-20T14:37:18Z,150
2025-08-20T14:37:23Z,152
2025-08-20T14:37:28Z,151
2025-08-20T14:37:33Z,152
2025-08-20T14:37:43Z,156
2025-08-20T14:37:48Z,157
2025-08-20T14:37:53Z,161
2025-08-20T14:37:58Z,155
2025-08-20T14:38:03Z,151
2025-08-20T14:38:08Z,150
2025-08-20T14:38:13Z,145
2025-08-20T14:38:18Z,141
2025-08-20T14:38:23Z,139
2025-08-20T14:38:28Z,135
2025-08-20T14:38:33Z,133
2025-08-20T14:38:38Z,130
2025-08-20T14:38:43Z,129
2025-08-20T14:38:48Z,127
2025-08-20T14:38:53Z,125
2025-08-20T14:38:58Z,123
2025-08-20T14:39:03Z,122
2025-08-20T14:39:08Z,120
2025-08-20T14:39:13Z,118
2025-08-20T14:39:18Z,117
2025-08-20T14:39:33Z,119
2025-08-20T14:39:38Z,117
2025-08-20T14:39:43Z,119
2025-08-20T14:39:48Z,118
2025-08-20T14:39:58Z,115
2025-08-20T14:40:03Z,114
2025-08-20T14:40:13Z,112
2025-08-20T14:40:18Z,109
2025-08-20T14:40:28Z,108
2025-08-20T14:40:33Z,105
2025-08-20T14:40:38Z,103
2025-08-20T14:40:43Z,102
2025-08-20T14:40:58Z,102
2025-08-20T14:41:03Z,102
2025-08-20T14:41:13Z,100
2025-08-20T14:41:18Z,99
2025-08-20T14:41:23Z,99
2025-08-20T14:41:28Z,100
2025-08-20T14:41:33Z,103
2025-08-20T14:41:38Z,116
2025-08-20T14:41:43Z,131
2025-08-20T14:41:48Z,140
2025-08-20T14:41:53Z,147
2025-08-20T14:41:58Z,150
2025-08-20T14:42:03Z,147
2025-08-20T14:42:08Z,145
2025-08-20T14:42:13Z,142
2025-08-20T14:42:18Z,141
2025-08-20T14:42:23Z,138
2025-08-20T14:42:28Z,135
2025-08-20T14:42:33Z,132
2025-08-20T14:42:38Z,131
2025-08-20T14:42:43Z,128
2025-08-20T14:42:48Z,122
2025-08-20T14:42:53Z,116
2025-08-20T14:42:58Z,128
2025-08-20T14:43:03Z,139
2025-08-20T14:43:08Z,140
2025-08-20T14:43:18Z,137
2025-08-20T14:43:23Z,134
2025-08-20T14:43:28Z,130
2025-08-20T14:43:33Z,125
2025-08-20T14:43:38Z,122
2025-08-20T14:43:43Z,118
2025-08-20T14:43:48Z,112
2025-08-20T14:43:53Z,109
2025-08-20T14:43:58Z,107
2025-08-20T14:44:08Z,106
2025-08-20T14:44:13Z,108
2025-08-20T14:44:18Z,113
2025-08-20T14:44:23Z,115
2025-08-20T14:44:28Z,112
2025-08-20T14:44:33Z,115
2025-08-20T14:44:38Z,116
2025-08-20T14:44:43Z,118
2025-08-20T14:44:48Z,121
2025-08-20T14:44:53Z,122
2025-08-20T14:44:58Z,121
2025-08-20T14:45:03Z,115
2025-08-20T14:45:08Z,116
2025-08-20T14:45:13Z,133
2025-08-20T14:45:18Z,144
2025-08-20T14:45:23Z,142
2025-08-20T14:45:28Z,132
2025-08-20T14:45:33Z,128
2025-08-20T14:45:38Z,123
2025-08-20T14:45:43Z,122
2025-08-20T14:45:48Z,121
2025-08-20T14:46:03Z,120
2025-08-20T14:46:08Z,118
2025-08-20T14:46:13Z,117
2025-08-20T14:46:18Z,116
2025-08-20T14:46:23Z,115
2025-08-20T14:46:28Z,113
2025-08-20T14:46:33Z,114
2025-08-20T14:46:38Z,115
2025-08-20T14:46:43Z,116
2025-08-20T14:46:48Z,112
2025-08-20T14:46:53Z,110
2025-08-20T14:46:58Z,108
2025-08-20T14:47:08Z,110
2025-08-20T14:47:13Z,111
2025-08-20T14:47:18Z,112
2025-08-20T14:47:23Z,113
2025-08-20T14:47:28Z,113
2025-08-20T14:47:33Z,112
2025-08-20T14:47:38Z,113
2025-08-20T14:47:48Z,110
2025-08-20T14:47:53Z,106
2025-08-20T14:48:08Z,106
2025-08-20T14:48:13Z,108
2025-08-20T14:48:15Z,109
2025-08-20T14:48:20Z,111
2025-08-20T14:48:25Z,113
2025-08-20T14:48:40Z,113
2025-08-20T14:48:45Z,111
2025-08-20T14:49:00Z,110
2025-08-20T14:49:05Z,105
2025-08-20T14:49:10Z,96
2025-08-20T14:49:15Z,95
2025-08-20T14:49:20Z,94
2025-08-20T14:49:25Z,94
2025-08-20T14:49:35Z,94
2025-08-20T14:49:50Z,93
2025-08-20T14:50:00Z,92
2025-08-20T14:50:10Z,91
2025-08-20T14:50:15Z,90
2025-08-20T14:50:20Z,89
2025-08-20T14:50:25Z,88
2025-08-20T14:50:30Z,89
2025-08-20T14:50:35Z,88
2025-08-20T14:50:50Z,88
2025-08-20T14:51:00Z,89
2025-08-20T14:51:10Z,88
2025-08-20T14:51:15Z,89
2025-08-20T14:51:31Z,89
2025-08-20T14:51:46Z,89
2025-08-20T14:52:01Z,88
2025-08-20T14:52:16Z,87
2025-08-20T14:52:26Z,88
2025-08-20T14:52:41Z,90
2025-08-20T14:52:46Z,87
2025-08-20T14:52:51Z,88
2025-08-20T14:52:56Z,87
2025-08-20T14:53:01Z,88
2025-08-20T14:53:06Z,88
2025-08-20T14:53:21Z,88
2025-08-20T14:53:36Z,88
2025-08-20T14:53:46Z,89
2025-08-20T14:53:56Z,88
2025-08-20T14:54:06Z,87
2025-08-20T14:54:21Z,87
2025-08-20T14:54:26Z,86
2025-08-20T14:54:31Z,87
2025-08-20T14:54:46Z,87
2025-08-20T14:54:57Z,87
2025-08-20T14:55:12Z,87
2025-08-20T14:55:27Z,87
2025-08-20T14:55:42Z,87
2025-08-20T14:55:47Z,88
2025-08-20T14:56:02Z,88
2025-08-20T14:56:07Z,87
2025-08-20T14:56:22Z,88
2025-08-20T14:56:32Z,86
2025-08-20T14:56:37Z,85
2025-08-20T14:56:52Z,86
2025-08-20T14:56:57Z,85
2025-08-20T14:57:02Z,86
2025-08-20T14:57:49Z,70
2025-08-20T14:58:04Z,71
2025-08-20T14:58:09Z,80
2025-08-20T14:58:24Z,80
2025-08-20T14:58:39Z,65
2025-08-20T14:58:44Z,62
2025-08-20T14:58:54Z,61
2025-08-20T14:59:04Z,62
2025-08-20T14:59:14Z,61
2025-08-20T14:59:19Z,60
2025-08-20T14:59:24Z,59
2025-08-20T14:59:29Z,58
2025-08-20T14:59:44Z,58
2025-08-20T14:59:49Z,57
2025-08-20T14:59:54Z,57
2025-08-20T14:59:59Z,56
2025-08-20T15:00:04Z,57
2025-08-20T15:00:09Z,57
2025-08-20T15:00:14Z,58
2025-08-20T15:00:19Z,59
2025-08-20T15:00:29Z,59
2025-08-20T15:00:34Z,60
2025-08-20T15:00:44Z,60
2025-08-20T15:00:54Z,58
2025-08-20T15:01:04Z,58
2025-08-20T15:01:09Z,58
2025-08-20T15:01:24Z,58
2025-08-20T15:01:39Z,58
2025-08-20T15:01:49Z,58
2025-08-20T15:01:59Z,57
2025-08-20T15:02:04Z,56
2025-08-20T15:02:09Z,55
2025-08-20T15:02:14Z,55
2025-08-20T15:02:19Z,57
2025-08-20T15:02:24Z,58
